-1.28643,4.5843
-1.11701,4.40046
-0.947596,4.21662
-0.778178,4.03278
-0.637679,3.88032
-0.725725,4.1143
-0.813772,4.34828
-0.901819,4.58226
-0.989865,4.81624
-1.0769,5.04753
-1.24632,5.23137
-1.41573,5.41521
-1.58515,5.59905
-1.75457,5.78289
-1.92399,5.96673
-2.09341,6.15057
-2.26282,6.33441
-2.43224,6.51825
-2.60166,6.70209
-2.77108,6.88593
-2.9405,7.06977
-3.10991,7.25361
-3.27933,7.43746
-3.44875,7.6213
-3.61817,7.80514
-3.78759,7.98898
-3.957,8.17282
-4.12642,8.35666
-4.13146,8.36212
-3.8825,8.38492
-3.63355,8.40772
-3.54456,8.41587
-3.37515,8.23203
-3.20573,8.04819
-3.03631,7.86435
-2.86689,7.6805
-2.69748,7.49666
-2.52806,7.31282
-2.35864,7.12898
-2.18922,6.94514
-2.0198,6.7613
-1.85039,6.57746
-1.68097,6.39362
-1.51612,6.21474
-1.60417,6.44872
-1.69221,6.6827
-1.78026,6.91668
-1.86831,7.15066
-1.95534,7.38195
-2.12476,7.56579
-2.29417,7.74963
-2.46359,7.93347
-2.63301,8.11731
-2.80242,8.30115
-2.95767,8.46961
-2.70872,8.49241
-2.45976,8.5152
-2.38438,8.52211
