-5.00351,7.23661,-0.826202,2,0
-4.83409,7.05277,-0.826202,1,0.25
-4.66467,6.86893,-0.826202,1,0.316228
-4.49525,6.68509,-0.826202,1,0.387298
-4.32583,6.50125,-0.826202,1,0.447214
-4.15642,6.31741,-0.826202,1,0.5
-3.987,6.13357,-0.826202,1,0.547723
-3.81758,5.94973,-0.826202,1,0.591608
-3.64816,5.76589,-0.826202,1,0.632456
-3.47874,5.58205,-0.826202,1,0.67082
-3.30933,5.39821,-0.826202,1,0.707107
-3.13991,5.21437,-0.826202,1,0.74162
-2.97049,5.03053,-0.826202,1,0.774597
-2.80107,4.84669,-0.826202,1,0.8
-2.63165,4.66285,-0.826202,1,0.8
-2.46223,4.479,-0.826202,1,0.774597
-2.29282,4.29516,-0.826202,1,0.74162
-2.1234,4.11132,-0.826202,1,0.707107
-1.95398,3.92748,-0.826202,1,0.67082
-1.78456,3.74364,-0.826202,1,0.632456
-1.61514,3.5598,-0.826202,1,0.591608
-1.44573,3.37596,-0.826202,1,0.547723
-1.27631,3.19212,-0.826202,1,0.5
-1.10689,3.00828,-0.826202,1,0.447214
-0.937473,2.82444,-0.826202,1,0.25
-0.768054,2.6406,-0.826202,1,0.25
-0.598636,2.45676,-0.826202,1,0.25
-0.557088,2.41167,0.69897,2,0
-0.365716,2.57253,0.69897,1,0.25
-0.198459,2.71311,2.31539,2,0
-0.367877,2.89695,2.31539,1,0.25
-0.537295,3.08079,2.31539,1,0.316228
-0.706713,3.26463,2.31539,1,0.387298
-0.876131,3.44848,2.31539,1,0.447214
-1.04555,3.63232,2.31539,1,0.5
-1.21497,3.81616,2.31539,1,0.547723
-1.38439,4,2.31539,1,0.591608
-1.5538,4.18384,2.31539,1,0.632456
-1.72322,4.36768,2.31539,1,0.67082
-1.89264,4.55152,2.31539,1,0.707107
-2.06206,4.73536,2.31539,1,0.74162
-2.23148,4.9192,2.31539,1,0.774597
-2.40089,5.10304,2.31539,1,0.8
-2.57031,5.28688,2.31539,1,0.8
-2.73973,5.47072,2.31539,1,0.8
-2.90915,5.65456,2.31539,1,0.774597
-3.07857,5.8384,2.31539,1,0.74162
-3.24798,6.02224,2.31539,1,0.707107
-3.4174,6.20608,2.31539,1,0.67082
-3.58682,6.38992,2.31539,1,0.632456
-3.75624,6.57376,2.31539,1,0.591608
-3.92566,6.7576,2.31539,1,0.547723
-4.09507,6.94144,2.31539,1,0.5
-4.26449,7.12529,2.31539,1,0.447214
-4.43391,7.30913,2.31539,1,0.25
-4.60333,7.49297,2.31539,1,0.25
-4.77275,7.67681,2.31539,1,0.25
-4.83915,7.74886,1.26032,2,0
-4.76277,7.98691,1.26032,1,0.25
-4.6864,8.22495,1.26032,1,0.25
-4.67479,8.26111,-0.826202,2,0
-4.50537,8.07727,-0.826202,1,0.25
-4.33596,7.89343,-0.826202,1,0.316228
-4.16654,7.70959,-0.826202,1,0.387298
-3.99712,7.52575,-0.826202,1,0.447214
-3.8277,7.34191,-0.826202,1,0.5
-3.65828,7.15807,-0.826202,1,0.547723
-3.48887,6.97423,-0.826202,1,0.591608
-3.31945,6.79039,-0.826202,1,0.632456
-3.15003,6.60655,-0.826202,1,0.67082
-2.98061,6.42271,-0.826202,1,0.707107
-2.81119,6.23887,-0.826202,1,0.74162
-2.64178,6.05503,-0.826202,1,0.774597
-2.47236,5.87119,-0.826202,1,0.74162
-2.30294,5.68735,-0.826202,1,0.707107
-2.13352,5.50351,-0.826202,1,0.67082
-1.9641,5.31966,-0.826202,1,0.632456
-1.79469,5.13582,-0.826202,1,0.591608
-1.62527,4.95198,-0.826202,1,0.547723
-1.45585,4.76814,-0.826202,1,0.5
-1.28643,4.5843,-0.826202,1,0.447214
-1.11701,4.40046,-0.826202,1,0.25
-0.947596,4.21662,-0.826202,1,0.25
