2,2,2.12245,2,0
1.86898,2.21291,2.12245,1,0.223607
1.73795,2.42583,2.12245,1,0.25
1.60693,2.63874,2.12245,1,0.25
1.47591,2.85165,2.12245,1,0.25
1.34488,3.06457,2.12245,1,0.25
1.2,3.3,0,2,0
1.45,3.3,0,1,0.223607
1.7,3.3,0,1,0.316228
1.95,3.3,0,1,0.387298
2.2,3.3,0,1,0.25
2.44999,3.3,0,1,0.25
2.69999,3.3,0,1,0.25
2.94999,3.3,0,1,0.25
3.3,3.3,1.5708,2,0
3.3,3.55,1.5708,1,0.25
3.3,3.94,-3.14159,2,0
3.05,3.94,-3.14159,1,0.223607
2.8,3.94,-3.14159,1,0.316228
2.55,3.94,-3.14159,1,0.387298
2.3,3.94,-3.14159,1,0.25
2.05001,3.94,-3.14159,1,0.25
1.80001,3.94,-3.14159,1,0.25
1.55001,3.94,-3.14159,1,0.25
1.2,3.94,1.5708,2,0
1.2,4.19,1.5708,1,0.25
1.2,4.58,0,2,0
1.45,4.58,0,1,0.223607
1.7,4.58,0,1,0.316228
1.95,4.58,0,1,0.387298
2.2,4.58,0,1,0.25
2.44999,4.58,0,1,0.25
2.69999,4.58,0,1,0.25
2.94999,4.58,0,1,0.25
3.3,4.58,1.5708,2,0
3.3,4.83,1.5708,1,0.25
3.3,5.22,-3.14159,2,0
3.05,5.22,-3.14159,1,0.223607
2.8,5.22,-3.14159,1,0.316228
2.55,5.22,-3.14159,1,0.387298
2.3,5.22,-3.14159,1,0.25
2.05001,5.22,-3.14159,1,0.25
1.80001,5.22,-3.14159,1,0.25
1.55001,5.22,-3.14159,1,0.25
1.2,5.22,1.5708,2,0
1.2,5.47,1.5708,1,0.25
1.2,5.86,0,2,0
1.45,5.86,0,1,0.223607
1.7,5.86,0,1,0.316228
1.95,5.86,0,1,0.387298
2.2,5.86,0,1,0.25
2.44999,5.86,0,1,0.25
2.69999,5.86,0,1,0.25
2.94999,5.86,0,1,0.25
3.3,5.86,1.5708,2,0
3.3,6.11,1.5708,1,0.25
3.3,6.5,-3.14159,2,0
3.05,6.5,-3.14159,1,0.223607
2.8,6.5,-3.14159,1,0.316228
2.55,6.5,-3.14159,1,0.387298
2.3,6.5,-3.14159,1,0.25
2.05001,6.5,-3.14159,1,0.25
1.80001,6.5,-3.14159,1,0.25
1.55001,6.5,-3.14159,1,0.25
1.2,6.5,1.5708,2,0
1.2,6.75,1.5708,1,0.223607
1.2,7,1.5708,1,0.316228
1.2,7.25,1.5708,1,0.387298
1.2,7.5,1.5708,1,0.447214
1.2,7.74999,1.5708,1,0.25
1.2,7.99999,1.5708,1,0.25
1.2,8.24999,1.5708,1,0.25
1.2,8.49999,1.5708,1,0.25
1.2,8.8,-1.5708,2,0
1.2,8.55,-1.5708,1,0.223607
1.2,8.3,-1.5708,1,0.316228
1.2,8.05,-1.5708,1,0.387298
1.2,7.8,-1.5708,1,0.25
1.2,7.55001,-1.5708,1,0.25
1.2,7.30001,-1.5708,1,0.25
1.2,7.05001,-1.5708,1,0.25
1.2,6.7,0,2,0
1.45,6.7,0,1,0.25
1.76,6.7,1.5708,2,0
1.76,6.95,1.5708,1,0.223607
1.76,7.2,1.5708,1,0.316228
1.76,7.45,1.5708,1,0.387298
1.76,7.7,1.5708,1,0.25
1.76,7.94999,1.5708,1,0.25
1.76,8.19999,1.5708,1,0.25
1.76,8.44999,1.5708,1,0.25
1.76,8.8,0,2,0
2.01,8.8,0,1,0.25
2.4,8.8,-1.5708,2,0
2.4,8.55,-1.5708,1,0.223607
2.4,8.3,-1.5708,1,0.316228
2.4,8.05,-1.5708,1,0.387298
2.4,7.8,-1.5708,1,0.25
2.4,7.55001,-1.5708,1,0.25
2.4,7.30001,-1.5708,1,0.25
