-3.54569,11.7451
-3.4799,11.6103
-3.4141,11.4755
-3.34831,11.3407
-3.28251,11.2059
-3.21671,11.0711
-3.15092,10.9363
-3.08512,10.8015
-3.01933,10.6667
-2.95353,10.5319
-2.88774,10.3971
-2.82194,10.2623
-2.75615,10.1275
-2.69035,9.9927
-2.62455,9.8579
-2.55876,9.7231
-2.49296,9.5883
-2.42717,9.4535
-2.36137,9.3187
-2.29558,9.18391
-2.22978,9.04911
-2.16399,8.91431
-2.09819,8.77951
-2.0324,8.64471
-1.9666,8.50991
-1.9008,8.37511
-1.83501,8.24031
-1.76921,8.10551
-1.70342,7.97071
-1.63762,7.83591
-1.57183,7.70111
-1.50603,7.56631
-1.44024,7.43151
-1.37444,7.29671
-1.30865,7.16191
-1.24285,7.02711
-1.17705,6.89231
-1.11126,6.75751
-1.04546,6.62272
-0.979668,6.48792
-0.913872,6.35312
-0.848077,6.21832
-0.782281,6.08352
-0.716486,5.94872
-0.65069,5.81392
-0.584895,5.67912
-0.519099,5.54432
-0.453304,5.40952
-0.387508,5.27472
-0.321713,5.13992
-0.255917,5.00512
-0.190122,4.87032
-0.124326,4.73552
-0.0585306,4.60072
