3.46601,10.6599
3.38264,10.7846
3.29927,10.9093
3.21591,11.034
3.13254,11.1587
3.04917,11.2834
2.96581,11.4081
2.88244,11.5328
2.79907,11.6574
2.7157,11.7821
2.63234,11.9068
2.54897,12.0315
2.4656,12.1562
2.44961,12.1802
2.44364,12.0303
2.43767,11.8804
2.4317,11.7305
2.42572,11.5807
2.42258,11.5017
2.50595,11.377
2.58931,11.2523
2.67268,11.1276
2.75605,11.0029
2.83942,10.8782
2.92278,10.7535
3.00615,10.6288
3.08952,10.5041
3.17288,10.3794
3.25625,10.2547
3.33962,10.13
3.42299,10.0053
3.50635,9.88064
3.58972,9.75594
3.67309,9.63124
3.75645,9.50654
3.83982,9.38184
3.92319,9.25714
4.00655,9.13244
4.08992,9.00774
4.17329,8.88305
4.25666,8.75835
4.28491,8.71608
4.22853,8.57708
4.17214,8.43809
4.11575,8.29909
4.07231,8.19202
3.98895,8.31672
3.90558,8.44142
3.82221,8.56612
3.73885,8.69082
3.65548,8.81552
3.57211,8.94022
3.48875,9.06492
3.40538,9.18961
3.32201,9.31431
3.23864,9.43901
3.15528,9.56371
3.07191,9.68841
2.98854,9.81311
2.90518,9.93781
2.82181,10.0625
2.73844,10.1872
2.65507,10.3119
2.57171,10.4366
2.48834,10.5613
2.40497,10.686
2.39092,10.707
2.38495,10.5571
2.3792,10.413
2.46257,10.2883
2.54594,10.1636
2.6293,10.0389
2.71267,9.91416
2.79604,9.78946
2.8794,9.66476
2.96277,9.54006
3.04614,9.41536
3.12951,9.29066
3.21287,9.16596
3.29624,9.04126
3.37961,8.91657
3.46298,8.79187
3.54634,8.66717
3.62971,8.54247
3.71308,8.41777
3.79644,8.29307
3.87981,8.16837
3.96318,8.04367
4.04655,7.91897
4.12991,7.79427
4.21328,7.66958
4.29665,7.54488
4.38001,7.42018
4.46338,7.29548
4.54675,7.17078
4.63012,7.04608
4.71348,6.92138
4.79685,6.79668
4.88022,6.67198
