[0m[ INFO] [1783240828.630340314]: Mower SN: HL-G-0001[0m
[2026-07-05 17:20:01] 当前点: 9.13962 -5.20125 -2.44746
[2026-07-05 17:20:01] 当前点: 9.1395 -5.20123 -2.44746
[2026-07-05 17:20:01] 当前点: 9.13966 -5.20205 -2.44747
[2026-07-05 17:20:01] 当前点: 9.13957 -5.20205 -2.44746
[2026-07-05 17:20:01] 当前点: 9.13943 -5.2024 -2.44746
[2026-07-05 17:20:01] 当前点: 9.13936 -5.20245 -2.44746
[2026-07-05 17:20:01] 当前点: 9.13992 -5.20244 -2.44745
[2026-07-05 17:20:01] 当前点: 9.13995 -5.20253 -2.44745
[2026-07-05 17:20:01] 当前点: 9.13955 -5.20266 -2.44745
[2026-07-05 17:20:01] 当前点: 9.13957 -5.2028 -2.44745
[2026-07-05 17:20:02] 当前点: 9.13773 -5.20146 -2.44745
[2026-07-05 17:20:02] 当前点: 9.1377 -5.20152 -2.44744
[2026-07-05 17:20:02] 当前点: 9.1367 -5.20095 -2.44745
[2026-07-05 17:20:02] 当前点: 9.13666 -5.20094 -2.44745
[2026-07-05 17:20:02] 当前点: 9.13607 -5.20046 -2.44744
[2026-07-05 17:20:02] 当前点: 9.13602 -5.20043 -2.44744
[2026-07-05 17:20:02] 当前点: 9.13618 -5.20006 -2.44745
[2026-07-05 17:20:02] 当前点: 9.13616 -5.20006 -2.44745
[2026-07-05 17:20:02] 当前点: 9.13563 -5.19927 -2.44744
[2026-07-05 17:20:02] 当前点: 9.13558 -5.19926 -2.44744
[2026-07-05 17:20:03] 当前点: 9.1339 -5.19871 -2.44744
[2026-07-05 17:20:03] 当前点: 9.13378 -5.19866 -2.44745
[2026-07-05 17:20:03] 当前点: 9.13214 -5.19761 -2.44745
[2026-07-05 17:20:03] 当前点: 9.13195 -5.19751 -2.44745
[2026-07-05 17:20:03] 当前点: 9.13132 -5.19749 -2.44745
[2026-07-05 17:20:03] 当前点: 9.13114 -5.19739 -2.44745
[2026-07-05 17:20:03] 当前点: 9.13154 -5.19747 -2.44748
[2026-07-05 17:20:03] 当前点: 9.13149 -5.19742 -2.44748
[2026-07-05 17:20:03] 当前点: 9.13137 -5.19725 -2.44748
[2026-07-05 17:20:03] 当前点: 9.13136 -5.19722 -2.44748
[2026-07-05 17:20:04] 当前点: 9.13171 -5.19732 -2.44748
[2026-07-05 17:20:04] 当前点: 9.1317 -5.19732 -2.44748
[2026-07-05 17:20:04] 当前点: 9.1322 -5.19743 -2.44748
[2026-07-05 17:20:04] 当前点: 9.13218 -5.19743 -2.44748
[2026-07-05 17:20:04] 当前点: 9.13258 -5.19752 -2.44748
[2026-07-05 17:20:04] 当前点: 9.13258 -5.19748 -2.44748
[2026-07-05 17:20:04] 当前点: 9.13282 -5.19712 -2.44749
[2026-07-05 17:20:04] 当前点: 9.13289 -5.19713 -2.44749
[2026-07-05 17:20:04] 当前点: 9.13317 -5.19725 -2.44749
[2026-07-05 17:20:04] 当前点: 9.13326 -5.19728 -2.44749
[2026-07-05 17:20:05] 当前点: 9.13315 -5.19711 -2.44749
[2026-07-05 17:20:05] 当前点: 9.13325 -5.19711 -2.44748
[2026-07-05 17:20:05] 当前点: 9.13352 -5.19759 -2.44749
[2026-07-05 17:20:05] 当前点: 9.13365 -5.19764 -2.44749
[2026-07-05 17:20:05] 当前点: 9.13363 -5.19762 -2.44748
[2026-07-05 17:20:05] 当前点: 9.13376 -5.19767 -2.44748
[2026-07-05 17:20:05] 当前点: 9.13442 -5.19843 -2.44749
[2026-07-05 17:20:05] 当前点: 9.13461 -5.19851 -2.44748
